Customer ID,Full Name,Date of Birth,Gender,Annual Income,Previous Investment Experience,Amount to Invest,Expected Rate of Return,Term of Investment,Retirement Goals,Employment Type,Investor Type,Investor Type Encoded,Cluster,Cluster Label
10e99ea0-ff09-4af8-880f-d04d6ed06cbe,Shawn Ramirez,2004-10-25,Other,1667431,No,285488,<5%,Medium Term,Building an emergency fund,Unemployed,Aggressive,2,1,H
c3f176a2-f675-4121-8885-f171ff9759f5,Rebekah Larsen,1984-05-09,Other,1826900,No,247829,<5%,Short Term,Investing in a business venture,Self-Employed,Aggressive,2,1,H
e440ba7c-1015-434d-b076-841ab3fa4891,Carlos Garcia,1959-10-04,Male,312887,No,103191,>10%,Medium Term,Saving for vacation,Employed,Aggressive,2,1,H
44bb3bca-0843-4785-b276-8d2beda1f988,Jennifer Reyes,1968-08-07,Male,733569,No,359556,<5%,Medium Term,Building an emergency fund,Unemployed,Moderate,1,0,M
19e7caa0-c2a0-4d39-aa81-5949f18eecc3,Amanda Walker,2001-06-25,Female,596937,Yes,65346,5-10%,Short Term,Securing a comfortable retirement,Retired,Moderate,1,0,M
db927afc-78a8-4587-929b-a8ca8fab0eed,Peter Rodriguez,1996-12-31,Female,1393876,Yes,130640,<5%,Short Term,Securing a comfortable retirement,Unemployed,Aggressive,2,1,H
8bf17c6a-dcc2-4dfd-9b77-a27924330bdf,Sara Spencer,1969-11-17,Other,1580864,No,98844,<5%,Medium Term,Saving for children's education,Employed,Conservative,0,2,L
3b5f552c-1da5-4d44-88c2-9ff974d46b04,Mark Merritt,1973-04-18,Male,1877863,Yes,264726,5-10%,Short Term,Saving for vacation,Unemployed,Aggressive,2,1,H
3c340285-473c-4cb6-8706-76f2c5fe50c5,Jeff Mueller,1969-03-07,Male,452441,No,230072,>10%,Short Term,Securing a comfortable retirement,Employed,Aggressive,2,1,H
e21662c3-a91e-45ef-b2f4-ca8cdd741390,Michael Jackson,1986-03-22,Female,294520,Yes,355254,>10%,Medium Term,Investing in a business venture,Retired,Aggressive,2,1,H
190db2cf-395a-4810-938f-4ccefc0fdd52,Michael Ortiz,2002-03-07,Female,793461,No,265821,<5%,Long Term,Securing a comfortable retirement,Unemployed,Moderate,1,0,M
30af5651-8ac6-426a-9adb-69bfe2b8d367,Alexandra Porter,2004-04-19,Male,691767,No,56631,>10%,Medium Term,Building an emergency fund,Unemployed,Aggressive,2,1,H
06e9e804-3096-4a60-a2fb-ba5bce8984d6,Sara Nelson,1969-06-16,Other,1187512,Yes,474379,<5%,Long Term,Securing a comfortable retirement,Unemployed,Moderate,1,0,M
38405e50-6b61-46e9-8568-79c2af88053d,Colin Walker,1988-04-01,Female,1007867,Yes,296122,5-10%,Long Term,Saving for vacation,Unemployed,Aggressive,2,1,H
4ebafa7c-0ad9-471f-a572-7b602b608324,Brenda Horton,1965-02-18,Male,977531,Yes,473805,>10%,Medium Term,Building an emergency fund,Retired,Moderate,1,0,M
79d2005c-a7d4-4d15-aeb6-4a75c79ed5cc,James Li,2000-08-08,Other,665924,No,7626,>10%,Short Term,Securing a comfortable retirement,Employed,Aggressive,2,1,H
57eb8416-88c9-4dda-83a8-02db0a1234fc,Karen Jackson,1999-08-03,Male,1860283,No,406791,<5%,Short Term,Building an emergency fund,Self-Employed,Aggressive,2,1,H
3121c012-317b-4cfe-91ae-b281eaca3bcb,Cindy Mclaughlin,2005-07-30,Other,400434,Yes,349444,<5%,Short Term,Securing a comfortable retirement,Employed,Aggressive,2,1,H
1681179c-5257-4ff2-b8c5-0df1ae20bc5e,Heather Barrett,1975-01-26,Other,1749858,Yes,415045,<5%,Medium Term,Investing in a business venture,Retired,Moderate,1,0,M
24d9e3d5-0b02-4d59-af55-92b905103fbd,Joseph Ballard,1973-10-26,Female,1060100,No,125737,<5%,Long Term,Paying off college debt,Self-Employed,Moderate,1,0,M
0214671d-679d-43b2-8b6d-47ec62a3fdd4,Jennifer White,1980-09-02,Female,890004,Yes,233355,>10%,Medium Term,Securing a comfortable retirement,Self-Employed,Aggressive,2,1,H
aaef7426-d5a3-4742-a10c-7fe872edc8c4,Daniel Moses,1976-04-14,Other,768323,No,101168,<5%,Short Term,Saving for children's education,Self-Employed,Conservative,0,2,L
553bff39-41f2-4e0e-beba-0e15ddfff7e9,Andrew Zavala,1989-01-03,Other,663285,No,428999,>10%,Medium Term,Buying a house,Unemployed,Aggressive,2,1,H
d3ded837-e7a0-41d6-a338-293efdfdfbf1,Laura Jackson,2000-06-24,Other,1056995,Yes,255253,>10%,Short Term,Saving for vacation,Employed,Aggressive,2,1,H
ba888022-86c7-4998-800e-3c6fcd154280,Kaylee Kent,1995-02-08,Other,1792388,Yes,434011,<5%,Short Term,Building an emergency fund,Employed,Aggressive,2,1,H
8655af02-e564-4602-9cab-fc482a3cfdce,Donna King,1972-12-26,Female,1592553,No,338931,5-10%,Long Term,Saving for vacation,Self-Employed,Aggressive,2,1,H
ce546cd5-4a3e-47d9-a535-e1cfa61baa98,Victoria Jefferson,1990-02-19,Other,1782277,No,436509,>10%,Short Term,Securing a comfortable retirement,Self-Employed,Aggressive,2,1,H
b4a730e0-ecdc-4ee7-bf30-54ad294a6126,Jennifer Gardner,1983-08-01,Female,1662639,No,351430,>10%,Short Term,Saving for vacation,Unemployed,Aggressive,2,1,H
ae5632db-6fa8-45ce-b016-b9fd5042936c,Mary Stephenson,1980-08-08,Female,52884,No,219920,>10%,Medium Term,Saving for children's education,Retired,Aggressive,2,1,H
9aef0e5b-2166-4dcb-8ddf-15757d9a0fbc,Sarah Turner,1982-03-22,Male,1390841,Yes,52300,5-10%,Long Term,Paying off college debt,Self-Employed,Moderate,1,0,M
5854bf8d-0219-437d-9978-f5e3af49a392,Tracy Walsh,1996-12-28,Other,456150,Yes,168218,<5%,Short Term,Saving for vacation,Employed,Aggressive,2,1,H
5aa1d163-807b-4870-b563-61de535d4e50,Patricia Davis,1976-04-27,Other,1973293,No,307891,5-10%,Medium Term,Investing in a business venture,Retired,Moderate,1,0,M
188cd61a-cc13-47c0-9828-89b95cebed46,Janet Anderson,1978-07-20,Male,398291,No,453760,>10%,Medium Term,Buying a house,Employed,Aggressive,2,1,H
89196d43-7cf7-4a6c-bde0-9b719685fa59,Tom Perez,1963-04-11,Male,1725777,Yes,172400,5-10%,Short Term,Saving for vacation,Employed,Aggressive,2,1,H
688ae1d1-a0d9-463f-9035-f7f48686200c,Ricky Perez,1970-04-02,Other,1165742,No,111127,<5%,Medium Term,Securing a comfortable retirement,Employed,Conservative,0,2,L
4f5dec20-c94c-4d3e-8d0c-c0fe72a75bd5,Anita Miller,1969-02-03,Male,568771,Yes,328419,5-10%,Medium Term,Saving for children's education,Retired,Moderate,1,0,M
6dfd18de-b992-4ea9-8bfa-75ae24897c5a,Devon Calhoun,1996-12-21,Other,1121805,Yes,340149,<5%,Short Term,Saving for children's education,Employed,Aggressive,2,1,H
ab7f084b-8581-45df-845e-b0e3fe8e9aae,Sarah Tucker,1978-12-13,Other,1994969,Yes,231048,<5%,Long Term,Building an emergency fund,Employed,Moderate,1,0,M
d2859bd7-a337-4156-915c-cf5b548d6cc6,Jose Patton,1983-02-23,Other,439305,Yes,162011,5-10%,Medium Term,Paying off college debt,Unemployed,Aggressive,2,1,H
0bb6e7c9-8706-48ac-9ee8-480c3ec3adf6,Rachel Flores,1984-07-23,Other,1119426,Yes,105818,<5%,Medium Term,Saving for vacation,Employed,Moderate,1,0,M
a013abfd-e618-4441-8b98-061739a6360e,Krystal Norman,1981-07-27,Female,1747472,No,235476,5-10%,Long Term,Securing a comfortable retirement,Unemployed,Moderate,1,0,M
e681c387-f51b-4a51-a09c-fb5a6f051bec,Courtney Pierce,1963-07-29,Other,1053402,Yes,387336,>10%,Medium Term,Buying a house,Self-Employed,Aggressive,2,1,H
44ab97a4-343b-4064-9820-b54d69079a9b,Steven Gross,1964-09-10,Female,636568,No,414096,5-10%,Long Term,Buying a house,Self-Employed,Moderate,1,0,M
c9f8e6e3-82f2-4a9a-bc71-44208ec112c2,Rebecca Aguilar,1960-12-17,Female,816565,No,231882,5-10%,Medium Term,Saving for children's education,Self-Employed,Moderate,1,0,M
98b8f309-982b-4a21-916d-2ad3b45d038c,Mary Elliott,1998-06-24,Male,1525350,No,214252,5-10%,Short Term,Investing in a business venture,Employed,Aggressive,2,1,H
f6ef96cd-c6ce-44a7-98ee-33fdf9e3c179,Lori May,1979-08-26,Male,1981154,No,236079,>10%,Long Term,Investing in a business venture,Self-Employed,Aggressive,2,1,H
84c64940-4f14-4cb7-8a77-0bacffe6f174,Amanda Robinson,1968-01-04,Other,1880608,No,48654,5-10%,Short Term,Building an emergency fund,Employed,Moderate,1,0,M
0c2bfa75-5e65-40e6-9b7b-a16d162188d1,Steven Wheeler,1961-07-06,Other,1555479,No,450145,<5%,Medium Term,Investing in a business venture,Retired,Moderate,1,0,M
c0850eee-fbf5-434f-af8a-aa2dad4fa98a,Ronald Kim,1981-09-25,Female,1579676,Yes,387213,5-10%,Medium Term,Saving for children's education,Employed,Aggressive,2,1,H
bef1cf35-25e6-4664-9433-bbfc13a39695,John Haas,1990-03-10,Female,754479,No,305377,<5%,Medium Term,Buying a house,Self-Employed,Moderate,1,0,M
2a5ef9de-3e7e-4923-b3d3-d2a6d64b279e,Judy Torres,1965-11-28,Other,355406,No,176568,<5%,Long Term,Saving for children's education,Self-Employed,Conservative,0,2,L
9d4feb84-326e-40a1-8734-c83136659661,Rebecca Morton,1983-02-10,Other,123983,No,169290,5-10%,Short Term,Securing a comfortable retirement,Retired,Moderate,1,0,M
7e70f607-5dfc-4a3a-81c4-07e592621dd9,Jessica Terrell,1961-05-28,Other,142931,Yes,395762,>10%,Long Term,Saving for children's education,Self-Employed,Aggressive,2,1,H
d7e2094a-fcfc-4bd2-808a-596532a446df,Alyssa Johnson,2004-11-08,Female,1258162,No,21778,5-10%,Medium Term,Saving for children's education,Self-Employed,Aggressive,2,1,H
c7972e5f-ae8e-4754-a3be-9ef5abdae402,Joel Harris,1969-08-11,Other,114802,No,478085,>10%,Long Term,Buying a house,Self-Employed,Aggressive,2,1,H
4244bbed-1c4d-48be-a85b-1ec2ec02c55b,Courtney Harris,1965-04-01,Male,1264443,No,273965,<5%,Short Term,Saving for children's education,Retired,Moderate,1,0,M
1eeb2bd2-120e-4170-8748-42caefeea760,Alexis Craig,1974-11-28,Other,592287,No,319508,<5%,Long Term,Paying off college debt,Retired,Moderate,1,0,M
e2f87a8d-d230-4770-bbc9-3a3b272c4d00,Alexis Wright,1994-04-15,Female,21724,Yes,255512,5-10%,Medium Term,Saving for vacation,Self-Employed,Aggressive,2,1,H
b14ad902-d087-4d41-bcbc-8e1c5e7c0563,Elizabeth Smith,2000-04-14,Female,577939,Yes,270097,5-10%,Medium Term,Building an emergency fund,Retired,Aggressive,2,1,H
99004857-8cde-4ac3-b60d-2c6f3ea96ce9,David Herring,1997-10-01,Male,1581841,No,324993,5-10%,Medium Term,Saving for children's education,Unemployed,Aggressive,2,1,H
90462765-066e-4a08-b705-271f8b84cef7,Renee Smith,1968-12-18,Other,1110044,Yes,302921,5-10%,Medium Term,Securing a comfortable retirement,Self-Employed,Moderate,1,0,M
227b7076-33f9-442d-8581-e4df0c3f51b1,Lisa Hayes,1963-02-06,Female,1408653,Yes,18699,<5%,Long Term,Paying off college debt,Retired,Moderate,1,0,M
6601ab98-4d20-4984-b1a2-73878414f87e,Michael Delgado,1992-06-01,Male,428901,Yes,150674,>10%,Long Term,Building an emergency fund,Self-Employed,Aggressive,2,1,H
2d6c6bae-746c-4ee9-a4ec-b3e2bf1e60d6,Patricia Ward,1987-12-27,Other,371773,Yes,160167,>10%,Short Term,Paying off college debt,Unemployed,Aggressive,2,1,H
21bb3484-1a31-4c0e-80b8-63916d5b0c19,Danielle Butler,2002-05-15,Other,1750016,No,141305,>10%,Short Term,Buying a house,Retired,Aggressive,2,1,H
36073b9d-117e-413a-973d-1cce806e9f2e,Steven Rogers,1987-02-26,Male,154487,Yes,457792,>10%,Short Term,Investing in a business venture,Unemployed,Aggressive,2,1,H
e1ed055b-6b6c-4e78-b88e-9e629c23042f,Allen Thomas,1983-03-08,Female,1109768,Yes,157950,>10%,Long Term,Securing a comfortable retirement,Self-Employed,Moderate,1,0,M
747885a6-c16a-40c0-b32e-6054d8b11e4e,Ryan Morgan,1968-08-28,Female,94961,No,198398,5-10%,Medium Term,Paying off college debt,Retired,Moderate,1,0,M
c17373d6-43f4-4a93-9505-5941f43a5c46,Jacob Hunter,1993-03-14,Female,1307948,Yes,64359,>10%,Short Term,Buying a house,Self-Employed,Aggressive,2,1,H
975b5b5a-54c4-4bce-84c5-5774c2368af4,Audrey Graham,1984-07-23,Female,1547548,No,498119,<5%,Long Term,Securing a comfortable retirement,Retired,Conservative,0,2,L
9a63e87e-cd5f-443b-8553-ca5e08b8d6e1,Nicole Jackson,2001-08-27,Female,1826039,Yes,349273,<5%,Medium Term,Investing in a business venture,Unemployed,Aggressive,2,1,H
9e0aac9c-d492-4304-9aca-17d1b322b897,Jasmine Wise,1981-09-17,Female,691318,No,43910,>10%,Short Term,Securing a comfortable retirement,Self-Employed,Moderate,1,0,M
e8dea516-6569-4149-9464-654fe919b2a9,Nathaniel Martin,1961-04-13,Male,1236860,No,188426,<5%,Medium Term,Securing a comfortable retirement,Unemployed,Conservative,0,2,L
51714125-b84e-493c-b20a-7c7294dc5625,Catherine Walker,1980-11-08,Male,657346,Yes,496611,<5%,Short Term,Building an emergency fund,Retired,Moderate,1,0,M
837c20a1-7261-41ac-8ff9-8d29212ddfb1,Eric Miller,1972-05-23,Other,741277,No,496553,5-10%,Long Term,Saving for vacation,Employed,Moderate,1,0,M
1abb7df3-dc56-49da-80e2-ef07e309c0d4,Victoria Cooper,1977-01-18,Female,1058481,No,167411,5-10%,Short Term,Securing a comfortable retirement,Employed,Moderate,1,0,M
22a7106a-e047-4002-89fa-7cab6c6e3bf3,Edward West,1999-01-15,Male,825847,Yes,135516,>10%,Long Term,Saving for vacation,Retired,Moderate,1,0,M
a2d7c54a-94b3-40d6-8b56-13626e18de86,Brandy Fisher,1969-10-15,Male,1621575,Yes,7879,5-10%,Medium Term,Paying off college debt,Unemployed,Aggressive,2,1,H
c5bbd3df-77ae-484f-b086-99501848cea0,Timothy Johnson,1966-07-15,Other,998818,No,243424,<5%,Long Term,Buying a house,Employed,Conservative,0,2,L
6829039d-6a68-45ba-89a8-a26af4715921,Nicholas Oliver,1978-06-25,Male,770054,No,489123,5-10%,Medium Term,Building an emergency fund,Retired,Moderate,1,0,M
aca60929-94d8-4805-bcdd-1fcd9b4d7b5b,Sarah Smith,1981-09-06,Female,921979,No,124997,>10%,Long Term,Building an emergency fund,Retired,Conservative,0,2,L
d90d3aba-94df-4175-8bc2-e3118d50de63,Amanda Fox,1984-05-15,Male,302433,Yes,97080,>10%,Medium Term,Buying a house,Employed,Aggressive,2,1,H
c0cf5652-4b05-406d-a6cf-ca580d5987b4,Thomas Thomas,1965-10-13,Other,78313,Yes,150774,5-10%,Medium Term,Investing in a business venture,Retired,Moderate,1,0,M
75efdaa8-3f06-46ec-87ac-f48be6886eb7,Richard Golden,2000-04-16,Female,1039055,Yes,31758,5-10%,Medium Term,Buying a house,Employed,Aggressive,2,1,H
1b1790e4-20d9-4b84-9a43-bd14bd9fb267,Cheryl Evans,1996-09-30,Female,1715345,No,97773,>10%,Long Term,Securing a comfortable retirement,Retired,Moderate,1,0,M
61e3fd13-688e-41e2-b646-0eeb6b94cd4c,Kristi Vang,1963-11-03,Other,27749,Yes,141276,>10%,Long Term,Paying off college debt,Unemployed,Aggressive,2,1,H
38c2fc14-51b3-412e-a062-93bc2fb04a89,Jeffrey Ruiz,1964-12-11,Male,546666,Yes,168371,<5%,Long Term,Investing in a business venture,Employed,Conservative,0,2,L
81353d56-c2fe-4ed6-851d-83ace949f696,Antonio Mcfarland,2005-03-04,Other,1029230,No,431513,>10%,Short Term,Building an emergency fund,Unemployed,Aggressive,2,1,H
07c11d03-0f26-4e98-a7c8-4f1d276bb958,Glenn White,1976-08-17,Male,457600,Yes,443211,5-10%,Long Term,Securing a comfortable retirement,Employed,Aggressive,2,1,H
1ec38d2f-12fa-477a-9c99-3ac82c4d76ee,Mark Stout,1984-09-20,Other,803704,Yes,240381,5-10%,Medium Term,Paying off college debt,Unemployed,Aggressive,2,1,H
e5612bce-5bfa-47a3-bd41-2a2dcc5a5a96,Sharon Murphy,1972-01-16,Other,537376,No,182741,>10%,Long Term,Building an emergency fund,Retired,Conservative,0,2,L
83d9975b-f6c6-43a0-8b17-a7e43be03ee5,Daniel Johnson,1967-08-14,Male,1984093,Yes,423932,<5%,Long Term,Buying a house,Self-Employed,Moderate,1,0,M
486555b5-3689-47f4-b06e-db3e5f27b424,Dr. Jessica Smith,1963-02-28,Other,389861,Yes,241882,>10%,Long Term,Securing a comfortable retirement,Self-Employed,Aggressive,2,1,H
a7fafbe1-394b-4cf3-b0a6-59b792b8e686,Charles Wright,1987-12-14,Male,1607875,No,441749,>10%,Long Term,Buying a house,Self-Employed,Aggressive,2,1,H
f321028b-4441-48ae-b48d-15670cd325b1,Cindy Gates,1974-10-08,Female,878094,No,328025,5-10%,Long Term,Securing a comfortable retirement,Retired,Conservative,0,2,L
eee341c1-1afb-472c-bd21-ce803bda5c10,Joseph West,1972-04-20,Female,1917943,No,149141,>10%,Long Term,Building an emergency fund,Self-Employed,Moderate,1,0,M
dfeddcf1-1405-48c9-b6dc-6685f8622bc2,Brandy Fox,1969-11-20,Female,376185,No,168045,<5%,Medium Term,Paying off college debt,Retired,Moderate,1,0,M
e5b66d81-aee6-434a-804a-f772cfb88706,Melissa Miller,1969-05-31,Female,1230646,Yes,459843,5-10%,Long Term,Building an emergency fund,Employed,Moderate,1,0,M
3373cb63-7537-4f75-aab8-a092cae65ae9,Emma Moreno MD,2002-05-24,Male,1774138,Yes,308383,>10%,Medium Term,Buying a house,Self-Employed,Aggressive,2,1,H
39c68748-daf0-4300-b480-e3027e792bdc,Joseph Miller,1972-10-08,Female,1562034,Yes,156321,5-10%,Medium Term,Paying off college debt,Unemployed,Aggressive,2,1,H
a129e104-d6cf-47ee-b49e-14a1179a3793,Kara Rodriguez,1964-10-14,Other,476795,Yes,172671,5-10%,Medium Term,Building an emergency fund,Unemployed,Moderate,1,0,M
21645e8f-71b5-4668-b5fa-d6f801c37a2d,Edward Stewart MD,1970-06-13,Female,644333,Yes,21218,>10%,Long Term,Saving for children's education,Self-Employed,Moderate,1,0,M
be9d6b55-3ee1-4354-8194-7dc75ec56520,James Williams,2003-12-02,Female,653590,Yes,211563,>10%,Medium Term,Paying off college debt,Retired,Aggressive,2,1,H
fe2f502f-951a-4cb7-b48c-1c786608cd33,Scott Simmons,2001-03-29,Female,1801066,No,109021,5-10%,Medium Term,Buying a house,Employed,Aggressive,2,1,H
0935f88d-a488-4993-b32b-d440d337e003,Sally Jackson,2004-11-06,Other,809026,No,288129,>10%,Long Term,Saving for vacation,Retired,Aggressive,2,1,H
ce072cef-ba9b-4b2c-b8f6-e0b1f559456a,Emily Daniel,2005-08-01,Female,630628,Yes,467233,5-10%,Long Term,Building an emergency fund,Retired,Moderate,1,0,M
30c25a95-fa13-4f37-bb62-d044be838107,Anita Garcia,1963-04-25,Female,1416631,Yes,477760,5-10%,Long Term,Securing a comfortable retirement,Self-Employed,Moderate,1,0,M
f537c56f-d03e-4d8d-b2dc-5f4b44377f0d,David Estes,1987-11-19,Other,1913267,No,169692,5-10%,Short Term,Saving for vacation,Retired,Moderate,1,0,M
cf06c012-8b0e-4bd3-a44d-5845598f8831,Kelly Gonzales,1976-07-04,Male,330054,Yes,101944,>10%,Long Term,Paying off college debt,Unemployed,Aggressive,2,1,H
d4f6107a-dd38-4fa8-879f-027e9416b090,Kimberly Wallace,1973-01-06,Other,1623595,No,268431,<5%,Long Term,Securing a comfortable retirement,Retired,Conservative,0,2,L
bad80439-dded-4ada-b345-c51910c157bd,Melissa Wallace,1964-08-24,Female,1047910,No,77087,5-10%,Short Term,Buying a house,Self-Employed,Moderate,1,0,M
cac70009-66dd-4e63-937c-96bcd684a646,Brian Tanner,1974-09-18,Female,1338869,Yes,330875,5-10%,Short Term,Building an emergency fund,Retired,Aggressive,2,1,H
2bd993f0-223f-49a0-962f-8f490f02c018,Aaron Daniel,2001-08-08,Other,481580,Yes,156966,>10%,Medium Term,Buying a house,Self-Employed,Aggressive,2,1,H
eac64e6d-d0ee-4d7f-a70b-38de056aa9b9,Mary Mercado,2000-08-19,Other,1733227,No,231483,<5%,Long Term,Saving for vacation,Retired,Aggressive,2,1,H
52f28124-6b6e-4c1c-8e9e-1c219e8f3b75,Eric Ibarra,1970-08-12,Male,1670689,No,195091,<5%,Medium Term,Buying a house,Retired,Conservative,0,2,L
f3bbf5cd-ce16-4af4-a29e-8a65ca5cddbd,Amber Krause,1991-02-13,Male,1028003,Yes,92863,>10%,Long Term,Saving for children's education,Unemployed,Aggressive,2,1,H
4c13fabc-7f12-4d13-874f-8d7273cc9e4e,Donald Mays,1999-09-14,Male,1640233,No,476054,>10%,Medium Term,Buying a house,Self-Employed,Aggressive,2,1,H
b5890816-7b37-4cda-bedf-56ad7750619d,Michael Gardner,1997-08-15,Other,1481194,Yes,156424,<5%,Long Term,Saving for vacation,Unemployed,Aggressive,2,1,H
578049f0-935c-4852-a97e-4d82e5647a72,Tracy Bell,1983-09-25,Female,310669,Yes,174494,>10%,Long Term,Securing a comfortable retirement,Self-Employed,Moderate,1,0,M
3805ef6e-c650-49de-9956-ccee3319cbd9,Bridget Wood,1966-02-17,Female,1009932,Yes,30522,<5%,Medium Term,Paying off college debt,Retired,Moderate,1,0,M
222120d8-757e-47e3-a6ad-d5285485e6eb,Christina Cameron,1980-09-07,Other,21679,Yes,237446,5-10%,Medium Term,Saving for vacation,Unemployed,Aggressive,2,1,H
8d375809-0c4f-41d2-b9eb-75472f1d9e2e,Courtney Green,1977-04-22,Male,275456,No,297858,5-10%,Medium Term,Paying off college debt,Employed,Aggressive,2,1,H
e1a161f2-3af2-4ba6-98c3-d655c680e2a5,Logan Williams,1961-10-22,Other,1563845,Yes,464851,<5%,Medium Term,Building an emergency fund,Unemployed,Moderate,1,0,M
72cf1235-82d2-4a6a-8e47-b5462f3b9459,Emily Williams,1972-04-23,Male,1226252,Yes,349032,5-10%,Medium Term,Paying off college debt,Retired,Aggressive,2,1,H
cdbb2d63-528c-4019-9713-5804d8820dd7,Lauren Johnson,1984-04-13,Female,1291337,No,99365,<5%,Short Term,Saving for vacation,Retired,Moderate,1,0,M
39a045b2-cb33-4cec-88bf-b2d6fe2794d4,Sandra Brooks,1994-07-16,Male,1626403,No,323014,>10%,Long Term,Buying a house,Employed,Aggressive,2,1,H
3474a5b8-34f7-4110-8b71-c260b68becb4,Daniel Contreras,1991-06-28,Male,1227042,No,282446,5-10%,Long Term,Saving for vacation,Self-Employed,Aggressive,2,1,H
e249e6a4-26dd-4b05-88f6-02bec2ee19e8,Susan Cunningham,1978-02-24,Male,130657,No,245205,<5%,Long Term,Building an emergency fund,Retired,Moderate,1,0,M
642a966c-2e4d-4ec5-882a-12f7fea44ed2,Mark Case,1967-10-21,Other,1208183,Yes,371707,>10%,Short Term,Building an emergency fund,Unemployed,Aggressive,2,1,H
89233e71-a450-4b31-a1f0-b64ef029c869,Joshua Holloway,1968-08-27,Female,473405,No,55065,<5%,Short Term,Paying off college debt,Unemployed,Aggressive,2,1,H
7e7508d1-2f48-47e9-8969-59c64b624a7f,Mrs. Deborah Ware MD,1960-02-07,Other,1776210,No,436118,5-10%,Short Term,Investing in a business venture,Retired,Moderate,1,0,M
9769cd18-93cc-404c-9fa0-ce037254be21,Kelly Dixon,1975-12-12,Female,460111,No,444863,5-10%,Long Term,Saving for children's education,Employed,Moderate,1,0,M
bf1084fa-e65b-4ad5-8467-79f016e767c5,Sandra Armstrong,2001-11-19,Other,1624737,No,259268,5-10%,Medium Term,Investing in a business venture,Employed,Aggressive,2,1,H
2f3a2e67-686d-41ee-8325-53bba7058097,Jon Stark,1979-10-31,Male,1179015,No,200284,5-10%,Medium Term,Paying off college debt,Unemployed,Aggressive,2,1,H
64436840-a00a-45fe-86b1-0db3f916095f,Maureen Sanchez,1972-11-13,Other,594465,No,282151,<5%,Medium Term,Building an emergency fund,Employed,Moderate,1,0,M
133edf02-c7ef-49bf-8aed-5f343921baf0,Allison Nguyen,2003-06-27,Other,901518,Yes,11385,>10%,Short Term,Investing in a business venture,Employed,Aggressive,2,1,H
51f00925-de7b-41c6-9c6b-ff3b45884fa5,Patricia Tyler,1996-12-27,Other,1084553,Yes,175915,5-10%,Medium Term,Buying a house,Retired,Moderate,1,0,M
ca4b0994-6748-4477-b190-a096b32c092a,Michael Juarez,1987-08-11,Other,817130,No,176849,5-10%,Medium Term,Buying a house,Self-Employed,Moderate,1,0,M
4c02e107-f52b-43f8-90e8-fff3cdf5bae3,Tina Hawkins,1985-04-16,Other,1109203,No,1020,<5%,Short Term,Investing in a business venture,Unemployed,Aggressive,2,1,H
4dc929ad-3506-4f0e-9407-f77f6f1a5211,Samuel Elliott,1974-03-25,Male,446004,No,468775,<5%,Short Term,Investing in a business venture,Unemployed,Aggressive,2,1,H
44eab888-a011-448d-9cc7-7cb014e46e68,James Newman,1995-03-14,Male,1232082,Yes,285473,5-10%,Long Term,Building an emergency fund,Employed,Aggressive,2,1,H
